Kind,Name,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountDeclClass,CountDeclFile,CountLineCode
File,"AutoConfigurationReportEndpoint.java",,0.27,,15,15,,,4,,120
File,"AutoConfigurationReportEndpointTests.java",,0.42,,5,5,,,2,,52
File,"AutoConfigurationReportLoggingInitializer.java",,0.31,,8,8,,,2,,94
File,"AutoConfigurationReportLoggingInitializerTests.java",,0.13,,14,14,,,6,,176
File,"AutoConfigurationReproTests.java",,0.54,,2,2,,,3,,37
File,"AutoConfigurationSorter.java",,0.15,,16,16,,,4,,166
File,"AutoConfigurationSorterTests.java",,0.11,,13,13,,,14,,177
File,"AutoConfigureAfter.java",,2.73,,2,2,,,1,,11
File,"AutoConfigureAnnotationProcessor.java",,0.13,,11,11,,,1,,173
File,"AutoConfigureAnnotationProcessorTests.java",,0.24,,5,5,,,1,,82
File,"AutoConfigureBefore.java",,2.73,,2,2,,,1,,11
File,"AutoConfigureCache.java",,1.15,,1,1,,,1,,20
File,"AutoConfigureCacheIntegrationTests.java",,0.71,,1,1,,,2,,28
File,"AutoConfigureConfigurationClassTests.java",,4.00,,0,0,,,1,,5
File,"AutoConfigureDataJpa.java",,1.67,,0,0,,,1,,15
File,"AutoConfigureDataMongo.java",,1.60,,0,0,,,1,,15
File,"AutoConfigureJdbc.java",,1.85,,0,0,,,1,,13
File,"AutoConfigureJson.java",,1.60,,0,0,,,1,,15
File,"AutoConfigureJsonTesters.java",,1.29,,1,1,,,1,,21
File,"AutoConfigureMockMvc.java",,1.68,,6,6,,,1,,31
File,"AutoConfigureMockRestServiceServer.java",,1.57,,1,1,,,1,,21
File,"AutoConfigureMockRestServiceServerEnabledFalseIntegrationTests.java",,1.05,,1,1,,,1,,19
File,"AutoConfigureOrder.java",,2.23,,1,1,,,1,,13
File,"AutoConfigureRestDocs.java",,1.81,,5,5,,,1,,27
File,"AutoConfigureTestDatabase.java",,1.54,,4,4,,,2,,28
File,"AutoConfigureTestDatabase.java",,1.57,,4,4,,,2,,28
File,"AutoConfigureTestDatabaseWithMultipleDatasourcesIntegrationTests.java",,0.51,,3,3,,,2,,43
File,"AutoConfigureTestDatabaseWithNoDatabaseIntegrationTests.java",,0.91,,1,1,,,2,,23
File,"AutoConfigureTestEntityManager.java",,1.47,,0,0,,,1,,15
File,"AutoConfigureWebClient.java",,1.40,,1,1,,,1,,20
File,"AutoConfigureWebClientWithRestTemplateIntegrationTests.java",,0.54,,1,1,,,2,,37
File,"AutoConfigureWebMvc.java",,1.67,,0,0,,,1,,15
File,"BackgroundPreinitializer.java",,0.61,,8,8,,,7,,69
File,"Banner.java",,3.73,,3,3,,,2,,11
File,"BannerTests.java",,0.22,,9,9,,,3,,102
File,"BarProperties.java",,0.69,,6,6,,,1,,26
File,"BarTestBean.java",,3.00,,0,0,,,1,,5
File,"BasicBatchConfigurer.java",,0.32,,12,12,,,1,,115
File,"BasicDataSourceExample.java",,1.56,,1,1,,,2,,16
File,"BasicDataSourceExampleTests.java",,0.80,,1,1,,,1,,25
File,"BasicErrorController.java",,0.72,,7,7,,,1,,68
File,"BasicErrorControllerDirectMockMvcTests.java",,0.19,,8,11,,,7,,135
File,"BasicErrorControllerIntegrationTests.java",,0.10,,25,26,,,8,,246
File,"BasicErrorControllerMockMvcTests.java",,0.17,,14,15,,,7,,155
